DATA_DATE,PRODUCER,ENERGY,TIMESTAMP
2/7/2019 0:00,EGAT,180.5,2/8/2019 16:05
2/10/2019 0:00,EGAT,173.6,2/11/2019 15:12
2/17/2019 0:00,EGAT,151.6,2/18/2019 13:30
2/18/2019 0:00,EGAT,159.1,2/19/2019 13:30
2/19/2019 0:00,EGAT,158,2/20/2019 13:30
2/20/2019 0:00,EGAT,173.5,2/21/2019 13:30
2/21/2019 0:00,EGAT,171.6,2/22/2019 13:30
2/22/2019 0:00,EGAT,181.6,2/23/2019 13:30
2/23/2019 0:00,EGAT,179.1,2/24/2019 13:30
2/24/2019 0:00,EGAT,159.8,2/25/2019 13:30
2/25/2019 0:00,EGAT,168.4,2/26/2019 13:30
2/26/2019 0:00,EGAT,173.6,2/27/2019 13:30
2/27/2019 0:00,EGAT,174.6,2/28/2019 13:30
2/28/2019 0:00,EGAT,166.2,3/1/2019 13:30
3/1/2019 0:00,EGAT,171.6,3/2/2019 13:30
3/2/2019 0:00,EGAT,175.7,3/3/2019 13:30
3/3/2019 0:00,EGAT,180.3,3/4/2019 13:30
3/4/2019 0:00,EGAT,186,3/5/2019 13:30
3/5/2019 0:00,EGAT,189.4,3/6/2019 13:30
3/6/2019 0:00,EGAT,191,3/7/2019 13:30
3/7/2019 0:00,EGAT,189.1,3/8/2019 13:30
3/8/2019 0:00,EGAT,184.5,3/9/2019 13:30
3/9/2019 0:00,EGAT,183,3/10/2019 13:30
3/10/2019 0:00,EGAT,182,3/11/2019 13:30
3/11/2019 0:00,EGAT,363.7,3/12/2019 13:30
3/12/2019 0:00,EGAT,189.4,3/13/2019 13:30
3/13/2019 0:00,EGAT,190.6,3/14/2019 13:30
3/14/2019 0:00,EGAT,196.5,3/15/2019 13:28
3/15/2019 0:00,EGAT,197.9,3/16/2019 13:28
3/16/2019 0:00,EGAT,186.4,3/17/2019 13:27
3/17/2019 0:00,EGAT,183.8,3/18/2019 13:29
3/18/2019 0:00,EGAT,181.8,3/19/2019 13:29
3/19/2019 0:00,EGAT,189.8,3/20/2019 13:30
3/20/2019 0:00,EGAT,191.4,3/21/2019 13:30
3/21/2019 0:00,EGAT,192.1,3/22/2019 13:30
3/22/2019 0:00,EGAT,193.1,3/23/2019 13:30
3/23/2019 0:00,EGAT,190.6,3/24/2019 13:29
3/24/2019 0:00,EGAT,179.5,3/25/2019 13:29
3/25/2019 0:00,EGAT,181.3,3/26/2019 13:29
3/26/2019 0:00,EGAT,186.2,3/27/2019 13:29
3/27/2019 0:00,EGAT,187.9,3/28/2019 13:29
3/28/2019 0:00,EGAT,194.4,3/29/2019 13:29
3/29/2019 0:00,EGAT,189.4,3/30/2019 13:29
3/30/2019 0:00,EGAT,189.7,3/31/2019 13:29
3/31/2019 0:00,EGAT,178.9,4/1/2019 13:29
4/1/2019 0:00,EGAT,181.8,4/2/2019 13:29
4/2/2019 0:00,EGAT,187.5,4/3/2019 13:29
4/3/2019 0:00,EGAT,193,4/4/2019 13:30
4/4/2019 0:00,EGAT,186.5,4/5/2019 13:30
4/5/2019 0:00,EGAT,184.9,4/6/2019 13:30
4/6/2019 0:00,EGAT,200.1,4/7/2019 13:30
4/8/2019 0:00,EGAT,191.3,4/9/2019 13:30
4/9/2019 0:00,EGAT,199,4/10/2019 13:30
4/10/2019 0:00,EGAT,193.4,4/11/2019 13:30
4/11/2019 0:00,EGAT,189.7,4/12/2019 13:29
4/12/2019 0:00,EGAT,158.3,4/13/2019 13:30
4/13/2019 0:00,EGAT,139.1,4/14/2019 13:30
4/14/2019 0:00,EGAT,131.8,4/15/2019 13:30
4/15/2019 0:00,EGAT,133.3,4/16/2019 13:30
4/16/2019 0:00,EGAT,139.4,4/17/2019 13:30
4/17/2019 0:00,EGAT,160.7,4/18/2019 13:30
4/18/2019 0:00,EGAT,164.3,4/19/2019 13:30
4/19/2019 0:00,EGAT,178.1,4/20/2019 13:30
4/20/2019 0:00,EGAT,191.2,4/21/2019 13:30
4/21/2019 0:00,EGAT,185.8,4/22/2019 13:30
4/22/2019 0:00,EGAT,189,4/23/2019 13:30
4/23/2019 0:00,EGAT,190,4/24/2019 13:30
4/24/2019 0:00,EGAT,190.3,4/25/2019 13:30
4/25/2019 0:00,EGAT,189.7,4/26/2019 13:30
4/26/2019 0:00,EGAT,189.2,4/27/2019 13:30
4/27/2019 0:00,EGAT,193.2,4/28/2019 13:30
4/28/2019 0:00,EGAT,184.2,4/29/2019 13:30
4/29/2019 0:00,EGAT,187.7,4/30/2019 13:30
4/30/2019 0:00,EGAT,185.7,5/1/2019 13:30
5/1/2019 0:00,EGAT,176.3,5/2/2019 13:30
5/2/2019 0:00,EGAT,168.5,5/3/2019 13:30
5/3/2019 0:00,EGAT,169.6,5/4/2019 13:30
5/4/2019 0:00,EGAT,158.1,5/5/2019 13:30
5/5/2019 0:00,EGAT,158,5/6/2019 13:30
5/6/2019 0:00,EGAT,146.7,5/7/2019 13:30
5/7/2019 0:00,EGAT,180.6,5/8/2019 13:30
5/8/2019 0:00,EGAT,189.6,5/9/2019 13:30
5/9/2019 0:00,EGAT,190.1,5/10/2019 13:30
5/10/2019 0:00,EGAT,186.8,5/11/2019 13:30
5/11/2019 0:00,EGAT,188,5/12/2019 13:30
5/12/2019 0:00,EGAT,361.2,5/13/2019 13:30
5/13/2019 0:00,EGAT,181.5,5/14/2019 13:30
5/14/2019 0:00,EGAT,182.1,5/15/2019 13:30
5/15/2019 0:00,EGAT,184.7,5/16/2019 13:30
5/16/2019 0:00,EGAT,182.4,5/17/2019 13:30
5/17/2019 0:00,EGAT,182.2,5/18/2019 13:30
5/18/2019 0:00,EGAT,181.7,5/19/2019 13:30
5/19/2019 0:00,EGAT,171.3,5/20/2019 13:30
5/20/2019 0:00,EGAT,185.3,5/21/2019 13:30
5/21/2019 0:00,EGAT,195.2,5/22/2019 13:30
5/22/2019 0:00,EGAT,193.3,5/23/2019 13:30
5/24/2019 0:00,EGAT,190.4,5/25/2019 13:30
5/25/2019 0:00,EGAT,188.8,5/26/2019 13:30
5/26/2019 0:00,EGAT,187.6,5/27/2019 13:30
5/27/2019 0:00,EGAT,189.1,5/28/2019 13:30
5/28/2019 0:00,EGAT,186.7,5/29/2019 13:30
5/29/2019 0:00,EGAT,184.7,5/30/2019 13:30
5/30/2019 0:00,EGAT,183.9,5/31/2019 13:30
5/31/2019 0:00,EGAT,182,6/1/2019 13:30
6/1/2019 0:00,EGAT,177.7,6/2/2019 13:30
6/2/2019 0:00,EGAT,173.6,6/3/2019 13:30
6/3/2019 0:00,EGAT,168.2,6/4/2019 13:30
6/4/2019 0:00,EGAT,180,6/5/2019 13:30
6/5/2019 0:00,EGAT,175.4,6/6/2019 13:30
6/6/2019 0:00,EGAT,179,6/7/2019 13:30
6/7/2019 0:00,EGAT,172.6,6/8/2019 13:30
6/8/2019 0:00,EGAT,167.8,6/9/2019 13:30
6/9/2019 0:00,EGAT,154.8,6/10/2019 13:30
6/10/2019 0:00,EGAT,167.3,6/11/2019 13:30
6/11/2019 0:00,EGAT,175.3,6/12/2019 13:30
6/12/2019 0:00,EGAT,181.1,6/13/2019 13:30
6/13/2019 0:00,EGAT,184.7,6/14/2019 13:30
6/14/2019 0:00,EGAT,186.5,6/15/2019 13:30
6/15/2019 0:00,EGAT,172.3,6/16/2019 13:30
6/16/2019 0:00,EGAT,163.7,6/17/2019 13:30
6/17/2019 0:00,EGAT,161.5,6/18/2019 13:30
6/18/2019 0:00,EGAT,163.9,6/19/2019 13:30
6/19/2019 0:00,EGAT,163.2,6/20/2019 13:30
6/20/2019 0:00,EGAT,171.6,6/21/2019 13:30
6/21/2019 0:00,EGAT,174.1,6/22/2019 13:30
6/22/2019 0:00,EGAT,173.9,6/23/2019 13:30
6/23/2019 0:00,EGAT,164.2,6/24/2019 13:30
6/24/2019 0:00,EGAT,169.7,6/25/2019 13:30
6/25/2019 0:00,EGAT,175.1,6/26/2019 13:30
6/26/2019 0:00,EGAT,176.5,6/27/2019 13:30
6/27/2019 0:00,EGAT,173.3,6/28/2019 13:30
6/28/2019 0:00,EGAT,175.5,6/29/2019 13:30
6/29/2019 0:00,EGAT,175,6/30/2019 13:30
6/30/2019 0:00,EGAT,162.6,7/1/2019 13:30
7/1/2019 0:00,EGAT,169.8,7/2/2019 13:30
7/2/2019 0:00,EGAT,179.4,7/3/2019 13:30
7/3/2019 0:00,EGAT,162.2,7/4/2019 13:30
7/4/2019 0:00,EGAT,157.4,7/5/2019 13:30
7/5/2019 0:00,EGAT,159.6,7/6/2019 13:30
7/6/2019 0:00,EGAT,168.8,7/7/2019 13:30
7/7/2019 0:00,EGAT,161.8,7/8/2019 13:30
7/8/2019 0:00,EGAT,160,7/9/2019 13:30
7/9/2019 0:00,EGAT,167.4,7/10/2019 13:30
7/10/2019 0:00,EGAT,181.3,7/11/2019 13:30
7/11/2019 0:00,EGAT,182,7/12/2019 13:30
7/12/2019 0:00,EGAT,178.1,7/13/2019 13:30
7/13/2019 0:00,EGAT,170.8,7/14/2019 13:30
7/14/2019 0:00,EGAT,164.6,7/15/2019 13:30
7/15/2019 0:00,EGAT,176,7/16/2019 13:30
7/16/2019 0:00,EGAT,174.1,7/17/2019 13:30
7/17/2019 0:00,EGAT,173.4,7/18/2019 13:30
7/18/2019 0:00,EGAT,175.1,7/19/2019 6:00
7/19/2019 0:00,EGAT,177.9,7/20/2019 13:30
7/20/2019 0:00,EGAT,181.8,7/21/2019 13:30
7/21/2019 0:00,EGAT,177.7,7/22/2019 13:30
7/22/2019 0:00,EGAT,191.8,7/23/2019 13:30
7/23/2019 0:00,EGAT,187.6,7/24/2019 13:30
7/24/2019 0:00,EGAT,183.2,7/25/2019 13:30
7/25/2019 0:00,EGAT,181.3,7/26/2019 13:30
7/26/2019 0:00,EGAT,176.4,7/27/2019 13:30
7/27/2019 0:00,EGAT,175.6,7/28/2019 13:30
7/28/2019 0:00,EGAT,169,7/29/2019 13:30
7/29/2019 0:00,EGAT,159.9,7/30/2019 13:30
7/30/2019 0:00,EGAT,165.2,7/31/2019 13:30
7/31/2019 0:00,EGAT,161.2,8/1/2019 13:30
8/1/2019 0:00,EGAT,168,8/2/2019 13:30
8/2/2019 0:00,EGAT,169.7,8/3/2019 13:30
8/3/2019 0:00,EGAT,174.6,8/4/2019 13:30
8/4/2019 0:00,EGAT,163.3,8/5/2019 13:30
8/5/2019 0:00,EGAT,161.3,8/6/2019 13:30
8/6/2019 0:00,EGAT,155.8,8/7/2019 13:30
8/7/2019 0:00,EGAT,160.5,8/8/2019 13:30
8/8/2019 0:00,EGAT,165.6,8/9/2019 13:30
8/9/2019 0:00,EGAT,164.7,8/10/2019 13:30
8/10/2019 0:00,EGAT,152.4,8/11/2019 13:30
8/11/2019 0:00,EGAT,146.5,8/12/2019 13:30
8/12/2019 0:00,EGAT,145.9,8/13/2019 13:30
8/13/2019 0:00,EGAT,159.6,8/14/2019 13:30
8/14/2019 0:00,EGAT,166.8,8/15/2019 13:30
8/15/2019 0:00,EGAT,165.5,8/16/2019 13:30
8/16/2019 0:00,EGAT,163.1,8/17/2019 13:30
8/17/2019 0:00,EGAT,161.3,8/18/2019 13:30
8/18/2019 0:00,EGAT,153.8,8/19/2019 13:30
8/19/2019 0:00,EGAT,165,8/20/2019 13:30
8/20/2019 0:00,EGAT,165.8,8/21/2019 13:30
8/21/2019 0:00,EGAT,169.7,8/22/2019 13:30
8/22/2019 0:00,EGAT,171.1,8/23/2019 13:30
8/23/2019 0:00,EGAT,174.2,8/24/2019 13:30
8/24/2019 0:00,EGAT,171,8/25/2019 13:30
8/25/2019 0:00,EGAT,159.2,8/26/2019 13:30
8/26/2019 0:00,EGAT,158.8,8/27/2019 13:30
8/27/2019 0:00,EGAT,167.8,8/28/2019 13:30
8/28/2019 0:00,EGAT,170.4,8/29/2019 13:30
8/29/2019 0:00,EGAT,165,8/30/2019 13:30
8/30/2019 0:00,EGAT,141.6,8/31/2019 13:30
8/31/2019 0:00,EGAT,136.1,9/1/2019 13:29
9/1/2019 0:00,EGAT,128.1,9/2/2019 13:30
9/2/2019 0:00,EGAT,132.7,9/3/2019 13:30
9/3/2019 0:00,EGAT,144.5,9/4/2019 13:30
9/4/2019 0:00,EGAT,138.5,9/5/2019 13:30
9/5/2019 0:00,EGAT,139.1,9/6/2019 13:30
9/6/2019 0:00,EGAT,139.5,9/7/2019 13:30
9/7/2019 0:00,EGAT,141.4,9/8/2019 13:30
9/8/2019 0:00,EGAT,133.2,9/9/2019 13:30
9/9/2019 0:00,EGAT,129.8,9/10/2019 13:30
9/10/2019 0:00,EGAT,138.2,9/11/2019 13:30
9/11/2019 0:00,EGAT,138.6,9/12/2019 13:30
9/12/2019 0:00,EGAT,145,9/13/2019 13:30
9/13/2019 0:00,EGAT,145.9,9/14/2019 13:30
9/14/2019 0:00,EGAT,141,9/15/2019 13:30
9/15/2019 0:00,EGAT,139.5,9/16/2019 13:30
9/16/2019 0:00,EGAT,148.2,9/17/2019 13:30
9/17/2019 0:00,EGAT,155.3,9/18/2019 13:30
9/18/2019 0:00,EGAT,157,9/19/2019 13:30
9/19/2019 0:00,EGAT,148.3,9/20/2019 13:30
9/20/2019 0:00,EGAT,149.3,9/21/2019 13:30
9/21/2019 0:00,EGAT,141.7,9/22/2019 13:30
9/22/2019 0:00,EGAT,126.2,9/23/2019 13:30
9/23/2019 0:00,EGAT,130.9,9/24/2019 13:30
9/24/2019 0:00,EGAT,138.8,9/25/2019 13:30
9/25/2019 0:00,EGAT,144.3,9/26/2019 13:30
9/26/2019 0:00,EGAT,139.3,9/27/2019 13:30
9/27/2019 0:00,EGAT,140.5,9/28/2019 13:30
9/28/2019 0:00,EGAT,127.8,9/29/2019 13:30
9/29/2019 0:00,EGAT,133.2,9/30/2019 13:30
9/30/2019 0:00,EGAT,158.6,10/1/2019 13:30
10/1/2019 0:00,EGAT,155.1,10/2/2019 13:30
10/2/2019 0:00,EGAT,156.6,10/3/2019 13:30
10/3/2019 0:00,EGAT,159.5,10/4/2019 13:30
10/4/2019 0:00,EGAT,148.9,10/5/2019 13:30
10/5/2019 0:00,EGAT,146.4,10/6/2019 13:30
10/6/2019 0:00,EGAT,133,10/7/2019 13:30
10/7/2019 0:00,EGAT,146.1,10/8/2019 13:30
10/8/2019 0:00,EGAT,153.4,10/9/2019 13:30
10/9/2019 0:00,EGAT,153.3,10/10/2019 13:30
10/10/2019 0:00,EGAT,155.9,10/11/2019 13:30
10/11/2019 0:00,EGAT,163.4,10/12/2019 13:30
10/12/2019 0:00,EGAT,156.5,10/13/2019 13:30
10/13/2019 0:00,EGAT,138.7,10/14/2019 13:30
10/14/2019 0:00,EGAT,134.6,10/15/2019 13:30
10/15/2019 0:00,EGAT,151.1,10/16/2019 13:30
10/16/2019 0:00,EGAT,159.1,10/17/2019 13:30
10/17/2019 0:00,EGAT,158,10/18/2019 13:30
10/18/2019 0:00,EGAT,157,10/19/2019 13:30
